"table_schema","table_name","column_name","data_type"
"public","abstract_concepts","id","uuid"
"public","abstract_concepts","concept","character varying"
"public","abstract_concepts","motif","character varying"
"public","api_models","id","uuid"
"public","api_models","name","character varying"
"public","api_models","description","text"
"public","api_models","token_cost","numeric"
"public","cultural_hidden_meanings","id","uuid"
"public","cultural_hidden_meanings","motif","character varying"
"public","cultural_hidden_meanings","culture","character varying"
"public","cultural_identity","id","uuid"
"public","cultural_identity","theme","character varying"
"public","cultural_identity","symbolic_marker","character varying"
"public","cultural_identity","purpose","character varying"
"public","example_images","id","uuid"
"public","example_images","title","character varying"
"public","example_images","description","text"
"public","example_images","image_url","text"
"public","example_images","thumbnail_url","text"
"public","example_images","category","character varying"
"public","example_images","style","character varying"
"public","example_images","tags","ARRAY"
"public","example_images","is_featured","boolean"
"public","example_images","is_active","boolean"
"public","example_images","display_order","integer"
"public","example_images","view_count","integer"
"public","example_images","created_at","timestamp with time zone"
"public","example_images","updated_at","timestamp with time zone"
"public","image_actions","id","integer"
"public","image_actions","user_id","uuid"
"public","image_actions","image_id","uuid"
"public","image_actions","action_type","character varying"
"public","image_actions","created_at","timestamp with time zone"
"public","images","id","integer"
"public","images","url","text"
"public","images","description","text"
"public","images","created_at","timestamp with time zone"
"public","nature_elements","id","uuid"
"public","nature_elements","element","character varying"
"public","nature_elements","symbolic_meaning","character varying"
"public","nature_elements","cultural_association","character varying"
"public","obscure_spiritual","id","uuid"
"public","obscure_spiritual","symbol","character varying"
"public","obscure_spiritual","tradition","character varying"
"public","otp_codes","id","uuid"
"public","otp_codes","email","character varying"
"public","otp_codes","code","character varying"
"public","otp_codes","expires_at","timestamp with time zone"
"public","otp_codes","used","boolean"
"public","otp_codes","created_at","timestamp with time zone"
"public","payments","id","uuid"
"public","payments","user_id","uuid"
"public","payments","amount","numeric"
"public","payments","payment_method","character varying"
"public","payments","status","character varying"
"public","payments","tokens_spent","integer"
"public","payments","created_at","timestamp with time zone"
"public","protection_symbols","id","uuid"
"public","protection_symbols","name","character varying"
"public","protection_symbols","origin","character varying"
"public","protection_symbols","symbol_type","character varying"
"public","rare_motifs","id","uuid"
"public","rare_motifs","motif","character varying"
"public","rare_motifs","culture","character varying"
"public","regional_themes","id","uuid"
"public","regional_themes","region","character varying"
"public","regional_themes","examples","character varying"
"public","sessions","id","uuid"
"public","sessions","user_id","uuid"
"public","sessions","session_token","text"
"public","sessions","created_at","timestamp with time zone"
"public","sessions","expires_at","timestamp with time zone"
"public","tattoo_colors","id","uuid"
"public","tattoo_colors","color_name","character varying"
"public","tattoo_colors","color_hex","character varying"
"public","tattoo_moods","id","uuid"
"public","tattoo_moods","mood_name","character varying"
"public","tattoo_moods","description","text"
"public","tattoo_moods","created_at","timestamp with time zone"
"public","tattoo_moods","updated_at","timestamp with time zone"
"public","tattoo_placements","id","uuid"
"public","tattoo_placements","placement","character varying"
"public","tattoo_sizes","id","uuid"
"public","tattoo_sizes","size_description","character varying"
"public","tattoo_styles","id","uuid"
"public","tattoo_styles","style_name","character varying"
"public","tattoo_styles","description","text"
"public","tattoo_styles","parent_style_id","uuid"
"public","tattoo_styles","created_at","timestamp with time zone"
"public","tattoo_styles","updated_at","timestamp with time zone"
"public","tattoos","id","uuid"
"public","tattoos","title","character varying"
"public","tattoos","description","text"
"public","tattoos","style_id","uuid"
"public","tattoos","size_id","uuid"
"public","tattoos","color_id","uuid"
"public","tattoos","placement_id","uuid"
"public","tattoos","mood_id","uuid"
"public","tattoos","created_at","timestamp with time zone"
"public","tattoos","updated_at","timestamp with time zone"
"public","underground_subversive","id","uuid"
"public","underground_subversive","theme","character varying"
"public","underground_subversive","symbol","character varying"
"public","user_profiles","user_id","uuid"
"public","user_profiles","bio","text"
"public","user_profiles","location","character varying"
"public","user_profiles","website","character varying"
"public","user_profiles","social_links","jsonb"
"public","user_profiles","preferences","jsonb"
"public","user_profiles","created_at","timestamp with time zone"
"public","user_profiles","updated_at","timestamp with time zone"
"public","user_tokens","user_id","uuid"
"public","user_tokens","tokens_balance","integer"
"public","user_tokens","last_updated","timestamp with time zone"
"public","users","id","uuid"
"public","users","email","character varying"
"public","users","name","character varying"
"public","users","profile_image","text"
"public","users","created_at","timestamp with time zone"
"public","users","username","character varying"
"public","users","avatar_url","text"
"public","users","role","USER-DEFINED"
"public","users","tokens","integer"
"public","users","total_spent","numeric"
